name,position
Aïmene BENABDERRAHMANE,"Premier Ministre, Ministre des finances"
Ramtane LAMAMRA,Ministre des Affaires étrangères et de la Communauté nationale à l'étranger
Kamal BELDJOUD,"Ministre de l’Intérieur, des Collectivités locales et de l’Aménagement du Territoire"
Abderrachid TABI,"Ministre de la Justice, garde des Sceaux"
Mohamed ARKAB,Ministre de l’Énergie et des Mines
Benatou ZIANE,Ministre de la transition énergétique et des énergies renouvelables
Laïd REBIGUA,Ministre des Moudjahidine et des Ayants Droit
Youcef BELMEHDI,Ministre des Affaires religieuses et des Wakfs
Abdelhakim BELAABED,Ministre de l’Éducation nationale
Abdelbaki BENZIANE,Ministre de l’Enseignement supérieur et de la Recherche scientifique
Yacine MERABI,Ministre de la Formation et de l’Enseignement professionnels
Wafaa CHAALAL,Ministre de la Culture et des Arts
Abderezzak SEBGAG,Ministre de la Jeunesse et des Sports
Hocine CHERHABIL,Ministre de la numérisation et des statistiques
Karim BIBI-TRIKI,Ministre de la Poste et des Télécommunications
Kaouter KRIKOU,"Ministre de la Solidarité nationale, de la Famille et de la Condition de la femme"
Ahmed ZEGHDAR,Ministre de l'Industrie
Abdel-Hamid HEMDANI,Ministre de l'Agriculture et du Développement rural
Mohamed Tarek BELARIBI,"Ministre de l’Habitat, de l’Urbanisme et de la Ville"
Kamel REZIG,Ministre du Commerce et de la Promotion des exportations
Ammar BELHIMER,Ministre de la Communication
Kamel NASRI,Ministre des Travaux publics
Aissa BEKKAI,Ministre des Transports
Karim HASNI,Ministre des Ressources en eau et de la Sécurité hydrique
Yacine HAMADI,Ministre du Tourisme et de l'Artisanat
Abderrahmane BENBOUZID,Ministre de la Santé
Abderrahmane LAHFAYA,"Ministre du Travail, de l’Emploi et de la Sécurité sociale"
Basma AZOUAR,Ministre des Relations avec le Parlement
Samia MOUALFI,Ministre de l’Environnement
Hichem Sofiane SALAOUATCHI,Ministre de la Pêche et des productions halieutiques
Abderrahmane Lotfi Djamel BENBAHMED,Ministre de l'industrie pharmaceutique
Nassim DIAFAT,Ministre délégué auprès du Premier ministre chargé des micro-entreprises.
Yacine El Mahdi OUALID,Ministre délégué auprès du Premier Ministre chargé de l'économie de la connaissance et des starts up
Yahia BOUKHARI,Secrétaire général du Gouvernement
